epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
133,230.468,0.38619,0.29703,0.86567,0.75786,0.80575,0.88462,0.61618,1.25204,1.14084,1.59545,0.000247472,0.000247472,0.000247472
134,232.24,0.43297,0.31894,0.85384,0.78896,0.75609,0.87743,0.60273,1.29838,1.15739,1.6631,0.000243938,0.000243938,0.000243938
135,233.935,0.41973,0.3316,0.85746,0.75036,0.82003,0.90179,0.60878,1.30427,1.14229,1.68862,0.000240404,0.000240404,0.000240404
136,235.658,0.44345,0.33845,0.88296,0.75109,0.82081,0.90081,0.61541,1.29651,1.12285,1.68988,0.000236869,0.000236869,0.000236869
137,237.294,0.40545,0.30985,0.84275,0.75109,0.82081,0.90081,0.61541,1.29651,1.12285,1.68988,0.000233335,0.000233335,0.000233335
138,238.994,0.4146,0.3031,0.86293,0.74697,0.82424,0.88342,0.65034,1.29199,1.12324,1.68264,0.000229801,0.000229801,0.000229801
139,240.664,0.4469,0.3435,0.86337,0.74695,0.83,0.8464,0.61312,1.29542,1.14037,1.6784,0.000226267,0.000226267,0.000226267
140,242.343,0.39962,0.30825,0.86281,0.74847,0.81094,0.83772,0.61925,1.29222,1.16329,1.67181,0.000222732,0.000222732,0.000222732
141,244.02,0.41488,0.33261,0.8773,0.74847,0.81094,0.83772,0.61925,1.29222,1.16329,1.67181,0.000219198,0.000219198,0.000219198
142,245.749,0.40771,0.33596,0.87808,0.75608,0.81156,0.82389,0.62141,1.28178,1.17295,1.66773,0.000215664,0.000215664,0.000215664
143,247.399,0.39072,0.30948,0.86708,0.76625,0.80721,0.80695,0.58588,1.25867,1.21154,1.65423,0.000212129,0.000212129,0.000212129
144,249.042,0.40039,0.30702,0.8667,0.77753,0.80005,0.79974,0.59198,1.25171,1.23935,1.64535,0.000208595,0.000208595,0.000208595
145,250.684,0.3991,0.30643,0.8654,0.77753,0.80005,0.79974,0.59198,1.25171,1.23935,1.64535,0.000205061,0.000205061,0.000205061
146,252.335,0.38381,0.30661,0.86476,0.78164,0.79593,0.80719,0.59056,1.27549,1.23127,1.63807,0.000201527,0.000201527,0.000201527
147,253.974,0.40977,0.30677,0.87648,0.77938,0.80781,0.78526,0.58272,1.30344,1.20345,1.64454,0.000197992,0.000197992,0.000197992
148,255.633,0.37872,0.29009,0.83576,0.76501,0.8191,0.78848,0.57989,1.30588,1.18618,1.63513,0.000194458,0.000194458,0.000194458
149,257.278,0.3932,0.30547,0.85518,0.76501,0.8191,0.78848,0.57989,1.30588,1.18618,1.63513,0.000190924,0.000190924,0.000190924
150,258.95,0.38115,0.30631,0.8774,0.75586,0.8213,0.79009,0.58102,1.30227,1.20963,1.6397,0.000187389,0.000187389,0.000187389
151,260.647,0.39357,0.3062,0.85062,0.73261,0.82328,0.82896,0.60035,1.29606,1.23517,1.64661,0.000183855,0.000183855,0.000183855
